epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3743,1.83597,3.07829,1.92423,0.29743,0.36603,0.33899,0.14976,1.83756,2.305,2.05756,0.000331481,0.000331481,0.000331481
2,60.9636,1.67807,2.36872,1.7713,0.43871,0.37855,0.35783,0.155,1.86758,2.15381,2.0007,0.000651651,0.000651651,0.000651651
3,90.1276,1.65766,2.17137,1.74692,0.61044,0.35995,0.38676,0.16566,1.96892,2.49846,2.09009,0.000958621,0.000958621,0.000958621
4,121.832,1.60087,2.0594,1.70404,0.37352,0.53618,0.48882,0.22022,1.88125,2.23053,2.07593,0.0009406,0.0009406,0.0009406
5,153.966,1.57139,1.95276,1.67948,0.4259,0.50818,0.51276,0.2156,1.78902,1.96452,1.97533,0.0009208,0.0009208,0.0009208
6,183.766,1.55748,1.89286,1.67557,0.5839,0.50167,0.52507,0.22927,1.80163,1.90213,1.91576,0.000901,0.000901,0.000901
7,213.46,1.53388,1.8542,1.6694,0.51466,0.51169,0.52991,0.23318,1.78996,1.89001,1.97253,0.0008812,0.0008812,0.0008812
8,243.026,1.51683,1.80656,1.64993,0.54655,0.67266,0.66614,0.31396,1.65575,1.63729,1.83875,0.0008614,0.0008614,0.0008614
9,273.64,1.4933,1.75759,1.62004,0.62957,0.54856,0.60973,0.28449,1.72431,1.75573,1.89668,0.0008416,0.0008416,0.0008416
10,305.307,1.498,1.74845,1.6249,0.67009,0.51993,0.58652,0.26948,1.79271,1.6657,1.86108,0.0008218,0.0008218,0.0008218
11,337.287,1.46055,1.68695,1.60453,0.70267,0.52119,0.62048,0.29218,1.69407,1.70814,1.8634,0.000802,0.000802,0.000802
12,370.154,1.4638,1.67583,1.59655,0.60027,0.55474,0.59865,0.27866,1.74427,1.64257,1.86065,0.0007822,0.0007822,0.0007822
13,404.184,1.45905,1.66003,1.59328,0.52215,0.62354,0.61865,0.28894,1.70999,1.63545,1.84108,0.0007624,0.0007624,0.0007624
14,434.739,1.4487,1.61962,1.58198,0.59521,0.65165,0.67614,0.32683,1.62142,1.58877,1.80226,0.0007426,0.0007426,0.0007426
15,465.536,1.45325,1.6215,1.58805,0.66465,0.53634,0.63189,0.29916,1.66328,1.59555,1.81303,0.0007228,0.0007228,0.0007228
16,497.238,1.43852,1.61944,1.57859,0.60805,0.59838,0.65431,0.30654,1.71732,1.54637,1.86118,0.000703,0.000703,0.000703
17,534.464,1.42854,1.5847,1.56545,0.64157,0.63017,0.69012,0.33806,1.5944,1.4662,1.76482,0.0006832,0.0006832,0.0006832
18,571.005,1.41039,1.54749,1.56126,0.63259,0.63231,0.67983,0.33205,1.60306,1.58729,1.78972,0.0006634,0.0006634,0.0006634
19,602.558,1.40291,1.56118,1.55925,0.58836,0.60783,0.66504,0.33499,1.59152,1.54542,1.77936,0.0006436,0.0006436,0.0006436
20,634.942,1.41401,1.57208,1.55909,0.79832,0.53673,0.69476,0.34573,1.57865,1.44589,1.73754,0.0006238,0.0006238,0.0006238
21,668.199,1.39988,1.54707,1.55951,0.63933,0.63278,0.69897,0.34903,1.58357,1.44059,1.72686,0.000604,0.000604,0.000604
22,701.082,1.41275,1.54993,1.56375,0.80383,0.55503,0.70206,0.34641,1.59892,1.42739,1.78168,0.0005842,0.0005842,0.0005842
23,732.313,1.38164,1.51423,1.53559,0.66712,0.65207,0.71401,0.36042,1.55145,1.38953,1.72466,0.0005644,0.0005644,0.0005644
24,764.43,1.40984,1.50896,1.55709,0.66907,0.61259,0.69739,0.35087,1.6087,1.42399,1.76658,0.0005446,0.0005446,0.0005446
25,801.224,1.37363,1.46798,1.53191,0.63186,0.60662,0.6816,0.34235,1.602,1.46317,1.73786,0.0005248,0.0005248,0.0005248
26,835.453,1.36629,1.45637,1.52806,0.68763,0.6047,0.6963,0.36764,1.58961,1.39008,1.74706,0.000505,0.000505,0.000505
27,868.3,1.38298,1.47938,1.53716,0.65918,0.62414,0.69316,0.35016,1.61639,1.44709,1.73791,0.0004852,0.0004852,0.0004852
28,901.114,1.36889,1.46137,1.52897,0.59904,0.64491,0.67943,0.33887,1.57342,1.46141,1.73029,0.0004654,0.0004654,0.0004654
29,934.743,1.35804,1.44731,1.5207,0.66748,0.62449,0.6847,0.32692,1.69943,1.43656,1.85676,0.0004456,0.0004456,0.0004456
30,966.645,1.35428,1.41396,1.50946,0.66959,0.63327,0.70353,0.35851,1.54668,1.41678,1.72513,0.0004258,0.0004258,0.0004258
31,998.724,1.35874,1.43996,1.52524,0.61654,0.64741,0.70445,0.35813,1.56441,1.39082,1.70178,0.000406,0.000406,0.000406
32,1031.22,1.34538,1.4184,1.50532,0.59904,0.58847,0.63454,0.31724,1.66407,1.54189,1.80084,0.0003862,0.0003862,0.0003862
33,1063.05,1.33681,1.39441,1.50595,0.60747,0.69367,0.72183,0.37517,1.55352,1.35424,1.71772,0.0003664,0.0003664,0.0003664
